composition,time,acetate,biomass,butanol,butyrate,ethanol
1.0,0.0,15.992718552036287,0.40952850678733255,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.1,17.928105141706727,0.46447219520424415,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.2,20.107579606784185,0.526345294129778,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.3,22.568281597603935,0.5962021610689545,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.4,25.35748550136401,0.6753848685638546,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.5,28.517371657420973,0.7650908742362768,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.6,32.09282945010761,0.8665945427837811,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.7,36.15326357427739,0.9818662040355872,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.8,40.742695850103765,1.1121555934109988,0.10513665158371098,0.06877692307692346,16.239544343891488
1.0,0.9,44.308602530023535,1.2155870779284024,0.10513665371443727,0.06877695647435637,16.31700325900276
1.0,1.0,43.958290609639924,1.213469635855317,0.10513666132178474,0.0687770757134525,16.592730805255822
1.0,1.1,43.69428181987959,1.2136017014302607,0.10513666881347078,0.06877719313964782,16.86139389431515
1.0,1.2,43.43135696117825,1.2136204147617768,0.10513667631157604,0.06877731066645949,17.124980231486933
1.0,1.3,43.168432102476906,1.213639128093293,0.1051366838096813,0.06877742819327116,17.388566568658717
1.0,1.4,42.90550724377556,1.2136578414248094,0.10513669130778656,0.06877754572008284,17.652152905830498
1.0,1.5,42.64258238507422,1.2136765547563255,0.10513669880589183,0.06877766324689451,17.91573924300228
1.0,1.6,42.38283137446123,1.2136871130136317,0.1051367063044956,0.06877778078152016,18.175864470467396
1.0,1.7,42.12491504860306,1.2136929571227146,0.10513671380338757,0.0687778983206628,18.43398895780986
1.0,1.8,41.86842063858734,1.2136951476765885,0.10513672130250289,0.06877801586330619,18.690562833217733
1.0,1.9,41.613348144414076,1.2136936846752533,0.10513672880184154,0.06877813340945031,18.94558609669101
1.0,2.0,41.35954221145042,1.2136958490023677,0.10513673630097797,0.06877825095242476,19.199470571218026
1.0,2.1,41.10698454581655,1.2137024980228397,0.10513674379986207,0.06877836849144404,19.45226475126661
1.0,2.2,40.85579587171809,1.2137079738500678,0.10513675129882454,0.06877848603169166,19.7036486141751
1.0,2.3,40.60597618915501,1.213712276484052,0.10513675879786537,0.06877860357316765,19.953622159943492
1.0,2.4,40.357525498127316,1.2137154059247925,0.10513676629698457,0.06877872111587197,20.202185388571795
1.0,2.5,40.11044379863502,1.2137173621722894,0.10513677379618214,0.06877883865980464,20.449338300060003
1.0,2.6,39.864731090678106,1.2137181452265426,0.10513678129545807,0.06877895620496564,20.695080894408118
1.0,2.7,39.62038737425658,1.213717755087552,0.10513678879481236,0.068779073751355,20.939413171616135
1.0,2.8,39.377412649370456,1.2137161917553176,0.10513679629424504,0.06877919129897271,21.18233513168406
1.0,2.9,39.13580691601971,1.2137134552298394,0.10513680379375608,0.06877930884781876,21.423846774611892
1.0,3.0,38.89560149354029,1.213710467166158,0.10513681129328413,0.0687794263969316,21.663949246262554
1.0,3.1,38.6569233503088,1.2137109639475905,0.10513681879258051,0.06877954394241316,21.902647191956607
1.0,3.2,38.41964654749341,1.213711239487922,0.1051368262918919,0.06877966148812992,22.139936004040862
1.0,3.3,38.1837710850941,1.2137112937871524,0.1051368337912183,0.06877977903408185,22.375815682515324
1.0,3.4,37.94929696311089,1.2137111268452818,0.1051368412905597,0.06877989658026898,22.61028622737999
1.0,3.5,37.716224181543765,1.2137107386623103,0.1051368487899161,0.06878001412669131,22.84334763863486
1.0,3.6,37.48455274039273,1.2137101292382377,0.10513685628928751,0.06878013167334883,23.07499991627994
1.0,3.7,37.25428263965779,1.2137092985730644,0.10513686378867391,0.06878024922024153,23.305243060315217
1.0,3.8,37.025413879338934,1.21370824666679,0.10513687128807533,0.06878036676736944,23.534077070740704
1.0,3.9,36.79794645943617,1.2137069735194146,0.10513687878749177,0.06878048431473253,23.761501947556393
1.0,4.0,36.5718803799495,1.2137054791309383,0.10513688628692319,0.06878060186233081,23.987517690762285
1.0,4.1,36.34707205944185,1.2137048195990519,0.10513689378629121,0.06878071940893508,24.212305082719602
1.0,4.2,36.12360703849435,1.213704365739287,0.10513690128564253,0.06878083695527763,24.435756419894012
1.0,4.3,35.9015123684673,1.2137039185782958,0.10513690878499192,0.06878095450159007,24.6578376421111
1.0,4.4,35.6807880493607,1.2137034781160785,0.1051369162843394,0.0687810720478724,24.878548749370875
1.0,4.5,35.461434081174545,1.2137030443526353,0.10513692378368494,0.0687811895941246,25.097889741673335
1.0,4.6,35.243450463908836,1.2137026172879657,0.10513693128302858,0.0687813071403467,25.315860619018473
1.0,4.7,35.02683719756358,1.2137021969220703,0.10513693878237028,0.06878142468653868,25.532461381406296
1.0,4.8,34.81159428213876,1.2137017832549486,0.10513694628171007,0.06878154223270055,25.747692028836802
1.0,4.9,34.5977217176344,1.2137013762866007,0.10513695378104794,0.06878165977883231,25.961552561309993
1.0,5.0,34.38521950405048,1.2137009760170268,0.10513696128038388,0.06878177732493396,26.174042978825867
1.0,5.1,34.174002618210196,1.213700637490292,0.10513696877971418,0.06878189487094709,26.385250243482446
1.0,5.2,33.96401700589098,1.2137003957011383,0.10513697627903647,0.06878201241683461,26.595229642188283
1.0,5.3,33.75534134160777,1.2137001997156291,0.10513698377835418,0.06878212996265053,26.803900706286047
