composition,trial,time,acetate,biomass,butanol,butyrate,ethanol
1,1,0.0,16.905028959276112,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.1,18.00119547511322,0.42107601809954975,0.028259728506787492,0.06103348416289628,15.607022624434475
1,1,0.2,19.831073303167532,0.4108027149321289,0.02831583710407257,0.05101266968325825,15.14413484162904
1,1,0.3,22.196248868778405,0.4036018099547533,0.031357466063348605,0.05036651583710442,14.52230769230777
1,1,0.4,25.293924886877967,0.4037085972850701,0.028699547511312404,0.03551402714932159,13.956015384615458
1,1,0.5,29.005156561086128,0.4062135746606357,0.031038009049773982,0.04112307692307733,13.322047963800976
1,1,0.6,32.89933303167439,0.4108479638009072,0.043533031674208446,0.08122081447963872,12.648213574660701
1,1,0.7,36.745003619909696,0.41672488687783027,0.07029592760181042,0.16721900452488808,12.061396380090562
1,1,0.8,40.32964886877849,0.42421538461538694,0.1141185520361998,0.3083022624434409,11.496555656108658
1,1,0.9,43.43828054298666,0.432877828054301,0.17682081447963907,0.5089665158371071,10.975655203619969
1,1,1.0,45.9002533936654,0.44194027149321513,0.23415022624434528,0.749057013574665,10.477145701357522
1,1,1.1,47.47739185520388,0.4516443438914052,0.3156117647058842,1.0726570135746667,10.0535909502263
1,1,1.2,47.94191945701383,0.46161447963801155,0.42794208144796625,1.4617891402715015,9.692744796380145
1,1,1.3,47.07631402714958,0.4713411764705907,0.5751031674208178,1.8956769230769335,9.370172850678786
1,1,1.4,46.24443710407265,0.47906696832579443,0.7584271493212713,2.35246787330318,9.391944796380145
1,1,1.5,46.09785067873328,0.4853864253393691,0.9802497737556617,2.8227475113122322,9.807828054298696
1,1,1.6,45.8398461538464,0.49126334841629227,1.2370298642534006,3.2862696832579363,10.376030769230827
1,1,1.7,45.48357104072423,0.49701900452488956,1.5228760180995558,3.7217357466063548,11.01140180995481
1,1,1.8,45.05044343891427,0.5030380090497765,1.8291257918552137,4.106156561085995,11.610454298642596
1,1,1.9,44.57000723981925,0.5103221719457042,2.1633212669683375,4.4745230769231,12.1044579185521
1,1,2.0,44.028123076923315,0.5178199095022652,2.5171782805430003,4.817951131221745,12.5978542986426
1,1,2.1,43.44263348416313,0.5254407239819033,2.882998190045264,5.137111312217222,13.08481266968333
1,1,2.2,42.836142081448195,0.5329990950226273,3.2510705882353115,5.433504977375596,13.559050678733104
1,1,2.3,42.23649321266991,0.5402823529411794,3.609811764705902,5.710282352941206,14.013495927601884
1,1,2.4,41.67622443438937,0.5471891402714962,3.94569411764708,5.971495022624467,14.440424434389218
1,1,2.5,41.11577556561108,0.5543601809954781,4.291495022624458,6.262865158371074,14.894251583710489
1,1,2.6,40.55522443438936,0.5614950226244374,4.637171040724008,6.554323981900488,15.3481104072399
1,1,2.7,39.99477556561108,0.5685049773755687,4.982828959276045,6.845676018099583,15.801889592760265
1,1,2.8,39.43422443438935,0.575639819004528,5.328504977375594,7.137134841628998,16.255748416289684
1,1,2.9,38.87377556561107,0.5828108597285099,5.6743058823529715,7.4285049773756056,16.70957556561095
1,1,3.0,38.313224434389355,0.5900000000000032,6.0200000000000315,7.7200000000000415,17.163398190045342
1,1,3.1,37.75002262443459,0.597542081447967,6.361600000000035,8.03810678733036,17.606019909502358
1,1,3.2,37.186330316742286,0.6051248868778313,6.702624434389176,8.360523981900498,18.04668235294127
1,1,3.3,36.62416380090519,0.6124814479638042,7.045728506787368,8.668700452488734,18.493388235294216
1,1,3.4,36.06505701357486,0.619319457013578,7.393451583710447,8.947158371040771,18.952701357466168
1,1,3.5,35.51020000000019,0.6257303167420848,7.747537556561127,9.18404072398195,19.429546606334945
1,1,3.6,34.96036832579204,0.6315122171945735,8.109414479638055,9.370631674208195,19.9275484162897
1,1,3.7,34.41619366515856,0.6365791855203654,8.479647058823574,9.502036199095073,20.448892307692418
1,1,3.8,33.877754751131405,0.64089049773756,8.85861357466068,9.576432579185571,20.99418642533948
1,1,3.9,33.34498642533954,0.6444506787330352,9.24616742081453,9.595410859728558,21.562800000000117
1,1,4.0,32.81727058823547,0.6473095022624471,9.64129864253399,9.564311312217246,22.152592760181115
1,1,4.1,32.293915837104244,0.6494914027149357,10.042881447963856,9.49154751131227,22.76005610859741
1,1,4.2,31.773477828054467,0.6514045248868814,10.448994570135802,9.389153846153896,23.380042533936777
1,1,4.3,31.254506787330484,0.6531638009049809,10.857400904977434,9.272305882352992,24.00596561085986
1,1,4.4,30.818788235294285,0.6550000000000036,11.241847058823591,9.203058823529464,24.58517647058837
1,1,4.5,30.357434389140437,0.657330316742085,11.646787330316805,9.161529411764755,25.188963800905118
1,1,4.6,29.84489954751147,0.6596660633484198,12.069060633484227,9.095766515837152,25.824116742081586
1,1,4.7,29.25883529411781,0.6618895927601846,12.501822624434457,8.985311312217243,26.486001809954892
1,1,4.8,28.582840723982056,0.6639013574660669,12.939046153846224,8.814247058823579,27.16978642533951
1,1,4.9,27.8065945701359,0.6657583710407277,13.375382805429936,8.571469683257964,27.87030045248884
1,1,5.0,26.924287718164184,0.6671320297349708,13.785823012281837,8.235190950226245,28.556477213962488
1,1,5.1,25.953960019392365,0.66827443438914,14.192357918552036,7.833733322559793,29.253378926955374
1,1,5.2,24.895611473820285,0.6691855850032318,14.594987524240462,7.3670968002585635,29.96100559146733
1,1,5.3,23.749242081447946,0.6698654815772458,14.993711829347118,6.835281383322556,30.679357207498352
1,1,5.4,22.514851842275345,0.6703141241111823,15.388530833872002,6.23828707175177,31.408433775048444
