,trial,time,acetate,biomass,butanol,butyrate,ethanol,Δ acetate,Δ biomass,Δ butanol,Δ butyrate,Δ ethanol,CO,CO2,H2,Flow Rate
1,0,0.0,15.992718552036289,0.40952850678733255,0.10513665158371098,0.06877692307692346,16.239544343891488,19.35386589670438,0.5494368841691166,0.0,0.0,0.0,0.5,0.375,0.125,1
1,0,0.1,17.928105141706727,0.4644721952042442,0.10513665158371098,0.06877692307692346,16.239544343891488,21.794744650774582,0.6187309892553372,0.0,0.0,0.0,0.5,0.375,0.125,1
1,0,0.2,20.107579606784185,0.5263452941297779,0.10513665158371098,0.06877692307692346,16.239544343891488,24.607019908197472,0.698568669391766,0.0,0.0,0.0,0.5,0.375,0.125,1
1,0,0.3,22.56828159760393,0.5962021610689545,0.10513665158371098,0.06877692307692346,16.239544343891488,27.892039037600778,0.7918270749490006,0.0,0.0,0.0,0.5,0.375,0.125,1
1,0,0.4,25.35748550136401,0.6753848685638546,0.10513665158371098,0.06877692307692346,16.239544343891488,31.598861560569603,0.8970600567242217,0.0,0.0,0.0,0.5,0.375,0.125,1
1,0,0.5,28.51737165742097,0.7650908742362768,0.10513665158371098,0.06877692307692346,16.239544343891488,35.75457792686639,1.0150366854750439,0.0,0.0,0.0,0.5,0.375,0.125,1
1,0,0.6,32.09282945010761,0.8665945427837811,0.10513665158371098,0.06877692307692346,16.239544343891488,40.60434124169782,1.1527166125180612,0.0,0.0,0.0,0.5,0.375,0.125,1
1,0,0.7,36.15326357427739,0.9818662040355872,0.10513665158371098,0.06877692307692346,16.239544343891488,45.89432275826378,1.3028938937541146,0.0,0.0,0.0,0.5,0.375,0.125,1
1,0,0.8,40.74269585010377,1.1121555934109988,0.10513665158371098,0.06877692307692346,16.239544343891488,35.65906679919757,1.034314845174036,2.130726289850671e-08,3.339743291641551e-07,0.7745891511127214,0.5,0.375,0.125,1
1,0,0.9,44.30860253002353,1.2155870779284024,0.10513665371443727,0.06877695647435637,16.31700325900276,-3.503119203836037,-0.021174420730851743,7.607347474181127e-08,1.1923909612465702e-06,2.757275462530622,0.5,0.375,0.125,1
1,0,1.0,43.958290609639924,1.2134696358553172,0.10513666132178474,0.0687770757134525,16.592730805255822,-2.6400878976033204,0.0013206557494349614,7.491686035421268e-08,1.1742619532295596e-06,2.686630890593269,0.5,0.375,0.125,1
1,0,1.1,43.69428181987959,1.2136017014302607,0.10513666881347078,0.06877719313964782,16.86139389431515,-2.6292485870134676,0.00018713331516151424,7.498105261682941e-08,1.1752681167154237e-06,2.6358633717178073,0.5,0.375,0.125,1
1,0,1.2,43.431356961178246,1.2136204147617768,0.10513667631157604,0.06877731066645949,17.12498023148693,-2.629248587013462,0.00018713331516151383,7.498105261682924e-08,1.1752681167154211e-06,2.635863371717837,0.5,0.375,0.125,1
1,0,1.3,43.1684321024769,1.213639128093293,0.1051366838096813,0.06877742819327116,17.388566568658714,-2.6292485870133966,0.00018713331516373468,7.498105261682941e-08,1.1752681167154237e-06,2.6358633717178073,0.5,0.375,0.125,1
1,0,1.4,42.90550724377556,1.2136578414248094,0.10513669130778656,0.06877754572008284,17.652152905830494,-2.629248587013391,0.00018713331516151383,7.498105275560711e-08,1.1752681167154211e-06,2.6358633717178725,0.5,0.375,0.125,1
1,0,1.5,42.64258238507422,1.2136765547563255,0.10513669880589184,0.06877766324689451,17.91573924300228,-2.5975101061299433,0.00010558257306003673,7.498603765698768e-08,1.1753462565711182e-06,2.6012522746511713,0.5,0.375,0.125,1
1,0,1.6,42.382831374461226,1.2136871130136315,0.1051367063044956,0.06877778078152016,18.1758644704674,-2.5791632585816195,5.844109083108514e-05,7.498891951840402e-08,1.1753914264112112e-06,2.5812448734246054,0.5,0.375,0.125,1
1,0,1.7,42.124915048603064,1.2136929571227146,0.10513671380338756,0.0687778983206628,18.43398895780986,-2.5649441001571893,2.1905538738486976e-05,7.499115314835152e-08,1.1754264338248433e-06,2.56573875407877,0.5,0.375,0.125,1
1,0,1.8,41.868420638587345,1.2136951476765885,0.10513672130250287,0.06877801586330619,18.690562833217736,-2.5507249417326996,-1.4630013351890645e-05,7.499338663952148e-08,1.1754614412384804e-06,2.550232634732769,0.5,0.375,0.125,1
1,0,1.9,41.613348144414076,1.2136936846752533,0.10513672880184154,0.06877813340945031,18.945586096691013,-2.5380593296365084,2.164327114417828e-05,7.499136422950408e-08,1.1754297445099027e-06,2.538844745270088,0.5,0.375,0.125,1
1,0,2.0,41.359542211450425,1.2136958490023677,0.10513673630097796,0.06877825095242476,19.199470571218022,-2.525576656338797,6.649020471982675e-05,7.498884110890274e-08,1.1753901926758726e-06,2.5279418004858534,0.5,0.375,0.125,1
1,0,2.1,41.106984545816545,1.2137024980228397,0.10513674379986207,0.06877836849144403,19.452264751266608,-2.511886740984506,5.475827228096359e-05,7.498962464880237e-08,1.175402476322195e-06,2.5138386290849346,0.5,0.375,0.125,1
1,0,2.2,40.855795871718094,1.2137079738500678,0.10513675129882454,0.06877848603169166,19.7036486141751,-2.498196825630865,4.3026339842100625e-05,7.49904083274802e-08,1.1754147598297447e-06,2.499735457683885,0.5,0.375,0.125,1
1,0,2.3,40.60597618915501,1.213712276484052,0.10513675879786537,0.06877860357316765,19.95362215994349,-2.484506910276847,3.1294407403237274e-05,7.499119200615738e-08,1.1754270433372838e-06,2.4856322862830615,0.5,0.375,0.125,1
