Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,1.6589863263624967,47.525089170985595,1.5712077506193076,5.220929426663917,0.9350364762509574
Random Forest Regressor,1.5707738857879956,28.279797173435867,2.603007774179856,9.242980072714287,0.8849904861002147
TPOT Regressor,2.1536450775231737,43.07415590825146,2.4000599172175203,10.398474726173967,0.8706127770320642
Support Vector Regressor,3.4886455467453237,94.4221204723533,4.156242443090836,29.44499899657566,0.6336187036286266
Kernel Ridge Regressor,2.121659780855542,52.7821750048077,2.1958235855534314,9.323081444572713,0.8839937924183426
K-NN Regressor,1.262809332696316,69.05568453103794,1.6910354674887744,4.454288363049892,0.9445757174229846
Gaussian Process Regressor,0.36177220988475606,9.42986152837141,0.3890207853751458,0.28221630329879516,0.9964884096252891
Gradient Boosting Regressor,1.955075883166757,51.92042021927724,2.4220184363222415,9.688495014825108,0.8794469864362358
Ensemble Model,1.3474975097241988,29.013063633772873,1.4678290581359763,3.970271682621265,0.9505982905214396
