composition,trial,time,biomass (g/L),ethanol (mM),acetate (mM),butanol (mM),butyrate (mM)
1.0,1.0,0.0,0.4295291101055829,15.87113695324292,16.893540271493304,0.0298633484162897,0.0701782805429868
1.0,1.0,0.1,0.42704012066365227,15.740753544494805,17.044157466063446,0.02828778280542997,0.057514932126697144
1.0,1.0,0.2,0.42234909743948873,15.524350500801011,17.650486670493002,0.026711982823028637,0.045337783226646
1.0,1.0,0.30000000000000004,0.4148488496802814,15.232300884899649,18.707065201286454,0.025135701672545134,0.03256565950050635
1.0,1.0,0.4,0.40676099676549443,14.86168327804954,20.092511274923016,0.024389898655691623,0.02191945161343844
1.0,1.0,0.5,0.39838464248087485,14.37889194318076,22.055116788133148,0.02528192970396798,0.013145354529886794
1.0,1.0,0.6,0.39177645854209053,13.827239014932301,24.3291012727066,0.02759401937238611,0.007268965514459658
1.0,1.0,0.7,0.38972672064710134,13.218452356739695,27.565640475223493,0.02743834681719262,0.003378374360199738
1.0,1.0,0.7999999999999999,0.38876276868441556,12.603463903387068,31.0106870290324,0.02728740808560169,0.0013345959691938602
1.0,1.0,0.8999999999999999,0.3899211857011045,11.951323022649818,35.1401531476178,0.03425808843047757,0.014723215325144534
1.0,1.0,0.9999999999999999,0.3928268971356622,11.306775259172724,39.56056755771757,0.05328117224326141,0.058124549106939746
1.0,1.0,1.0999999999999999,0.39683584571444214,10.684654725164982,43.97832539467795,0.08797045439129209,0.13437749450126507
1.0,1.0,1.2,0.4021314926984986,10.13246704285971,48.22790250248189,0.14067478956921262,0.2553498590864104
1.0,1.0,1.3,0.4086275199311421,9.618690807209894,52.04680400323887,0.2008356615794063,0.4207522331813026
1.0,1.0,1.4000000000000001,0.4155923372210585,9.140031627029536,55.39781341724227,0.2607708049516123,0.6276398007906581
1.0,1.0,1.5000000000000002,0.42459118242086036,8.95348730469344,55.21322050854609,0.39694857752111246,0.9352759952951732
1.0,1.0,1.6000000000000003,0.43358150158783,8.763143567152555,55.07457353976779,0.5635338253298928,1.243148306539033
1.0,1.0,1.7000000000000004,0.44262296130924556,8.489545704417464,55.63345216613961,0.6600620140388591,1.5627966271954183
1.0,1.0,1.8000000000000005,0.4511725575150284,8.403081801179333,55.00402237947121,0.7574661055734461,1.9306433980140718
1.0,1.0,1.9000000000000006,0.4603361563010213,8.189974411210073,54.6842781715119,0.8866760150993657,2.3066453733087964
1.0,1.0,2.0000000000000004,0.4688610484972712,8.114720952152586,54.32453697051261,1.0514526685385557,2.716360585812401
1.0,1.0,2.1000000000000005,0.4762861232667008,8.28548082437832,53.80074263316291,1.2542058315249665,3.144353117020848
1.0,1.0,2.2000000000000006,0.4826757892764177,8.7016168380603,53.416756261139604,1.4935647040588584,3.5729404991174323
1.0,1.0,2.3000000000000007,0.4886383315880344,9.257826894342006,53.11797875492597,1.7648611356928015,3.9846693476393225
