composition,trial,time,biomass (g/L),ethanol (mM),acetate (mM),butanol (mM),butyrate (mM)
1.0,1.0,0.0,0.4295291101055829,15.87113695324292,16.893540271493304,0.0298633484162897,0.0701782805429868
1.0,1.0,0.1,0.4320358418043805,16.016088812232116,18.596465468109656,0.10778393059837844,0.2356103530179008
1.0,1.0,0.2,0.43467382647085717,16.1925113594575,20.24035862563155,0.19415680463314933,0.40794835793104156
1.0,1.0,0.30000000000000004,0.43743435623436994,16.400294112799763,21.822591818372985,0.2892610334920095,0.5868943749892441
1.0,1.0,0.4,0.44030847574975823,16.63926249360964,23.340637512625776,0.3933708828472026,0.7721232970026431
1.0,1.0,0.5,0.4432870053107414,16.909177480801016,24.79207687834442,0.5067553890516779,0.9632826838278155
1.0,1.0,0.6,0.4463605652534761,17.209735432555654,26.174608054826784,0.6296779389477645,1.1599926642632192
1.0,1.0,0.7,0.44951960163270344,17.540568080960476,27.486054351144585,0.7623958630379226,1.361845886843275
1.0,1.0,0.7999999999999999,0.45275441314991416,17.90124270466994,28.72437236180099,0.9051600435659427,1.5684075203771688
1.0,1.0,0.8999999999999999,0.45605517930994555,18.291262484442264,29.88765997785389,1.0582145390692617,1.7792153049736315
1.0,1.0,0.9999999999999999,0.45941198977940173,18.710067046139702,30.9741642735439,1.2217962269724993,1.9937796541837114
1.0,1.0,1.0999999999999999,0.4628148749172664,19.157033195509577,31.982289248307428,1.3961344657987929,2.2115838087800106
1.0,1.0,1.2,0.4662538374450627,19.631475848775057,32.91060340393812,1.581450778578972,2.4320840425731673
1.0,1.0,1.3,0.4697188852209125,20.132649162762835,33.75784713658624,1.7779585590389981,2.65470992054468
1.0,1.0,1.4000000000000001,0.4732000650788688,20.65974786797947,34.522939923256196,1.985862802143324,2.8788646094496637
1.0,1.0,1.5000000000000002,0.47668749769194346,21.211908807719595,35.204987282478044,2.2053598605658853,3.1039252409139633
1.0,1.0,1.6000000000000003,0.48017141341433645,21.788212685947983,35.803287488891364,2.43663722865124,3.3292433269174557
1.0,1.0,1.7000000000000004,0.48364218905550516,22.387686026344035,36.31733802158915,2.679873355415907,3.5541452274195033
1.0,1.0,1.8000000000000005,0.48709038553589035,23.00930334453246,36.74684172622714,2.935237488124185,3.7779326697436413
1.0,1.0,1.9000000000000006,0.49050678637135825,23.651989535147973,37.091712671110486,3.202889547953611,3.999883319196879
1.0,1.0,2.0000000000000004,0.4938824369307253,24.314622474995755,37.352081677725664,3.4829800392427814,4.219251400254734
1.0,1.0,2.1000000000000005,0.49720868440811605,24.996035843173672,37.52830150649155,3.775649993788422,4.4352683674965325
1.0,1.0,2.2000000000000006,0.5004772184493714,25.695022158617704,37.62095167886027,4.081030951629417,4.6471436253268426
