composition,trial,time,biomass (g/L),ethanol (mM),acetate (mM),butanol (mM),butyrate (mM)
1.0,1.0,0.0,0.4295291101055829,15.87113695324292,16.893540271493304,0.0298633484162897,0.0701782805429868
1.0,1.0,0.1,0.4313111848297022,15.569166722925505,17.028067152144537,0.03253162198883128,0.08275955830289891
1.0,1.0,0.2,0.4331545300788979,15.268922226780111,17.166064900041253,0.03789583204633874,0.09793863811992563
1.0,1.0,0.30000000000000004,0.4350600837763218,14.97076041675437,17.30711896023174,0.04623482063696159,0.11587681784319676
1.0,1.0,0.4,0.4370287074735159,14.675046123595783,17.45047801817627,0.057844155649737265,0.1367488751891946
1.0,1.0,0.5,0.4390611417372121,14.38214296911404,17.594892095134824,0.07303646183231471,0.1607435393565104
1.0,1.0,0.6,0.4411579418399182,14.092399985059222,17.738394449575324,0.09214144113619849,0.18806327017947316
1.0,1.0,0.7,0.44331938715267044,13.806133423840128,17.878026065014858,0.11550542828253771,0.21892290357106944
1.0,1.0,0.7999999999999999,0.44554535754435326,13.523603992087804,18.009514871958928,0.1434902886068011,0.253546578616095
1.0,1.0,0.8999999999999999,0.4478351715901732,13.244991000494283,18.12693319389227,0.1764714338634873,0.2921622255922278
1.0,1.0,0.9999999999999999,0.4501873842298572,12.970366615512287,18.222347682233288,0.21483470749591452,0.3349927611634761
1.0,1.0,1.0999999999999999,0.4525995432320593,12.699675150243081,18.28543166736458,0.25897185075431783,0.3822429235697342
1.0,1.0,1.2,0.45506790022584886,12.432723533776327,18.302978319327273,0.30927415942562597,0.4340802144374964
1.0,1.0,1.3,0.45758706466615806,12.169189096895623,18.258400522856974,0.3661237869394115,0.49060770441426793
1.0,1.0,1.4000000000000001,0.4601495991792698,11.908648912866964,18.131727423691764,0.42988217652358895,0.5518263806475608
1.0,1.0,1.5000000000000002,0.4627456151802713,11.650630229402251,17.900748284087896,0.5008757376182046,0.6175870269363121
1.0,1.0,1.6000000000000003,0.4653625050884191,11.394674538504912,17.542683118290686,0.5793799229256177,0.6875357558566042
1.0,1.0,1.7000000000000004,0.4679848747775596,11.140404437910597,17.033836361272275,0.6656025802860303,0.7610558528356829
1.0,1.0,1.8000000000000005,0.47059443922408645,10.887589742897228,16.345689977848863,0.7596646200710585,0.8371950305156834
1.0,1.0,1.9000000000000006,0.47316946001057864,10.63621904430032,15.440148165688608,0.8615737158600377,0.9145541868432907
1.0,1.0,2.0000000000000004,0.47568362032492256,10.386574841420602,14.269671174647918,0.9711892776567685,0.9911236069204254
1.0,1.0,2.1000000000000005,0.47810490882797735,10.13928077508168,12.787831239662655,1.088183982828847,1.0640916458917655
1.0,1.0,2.2000000000000006,0.48039574073084623,9.895258844773803,10.970384105966941,1.2120155462654276,1.1297208475657081
1.0,1.0,2.3000000000000007,0.482515565768751,9.655545912114096,8.833452578327135,1.341926019719395,1.1834746105605696
1.0,1.0,2.400000000000001,0.4844256321504128,9.421009746973633,6.4307976991011255,1.476975400917211,1.2205829695813328
1.0,1.0,2.500000000000001,0.48609341195013,9.192098188864678,3.834306141682841,1.616100218502027,1.2370063815882255
1.0,1.0,2.600000000000001,0.48749464156003186,8.968723290551916,1.1157630370749212,1.75818847199923,1.230344793105525
1.0,1.0,2.700000000000001,0.48861311962349047,8.75029719966693,0.0,1.9021624482535182,1.2000658352755682
1.0,1.0,2.800000000000001,0.4896391009264639,8.534152857304555,0.0,2.048625149621068,1.1577714169910034
1.0,1.0,2.9000000000000012,0.49070672754138844,8.319160085632316,0.0,2.1981706142833275,1.110741097492241
1.0,1.0,3.0000000000000013,0.49181754061613864,8.105763512008776,0.0,2.350655009061972,1.05880354139875
1.0,1.0,3.1000000000000014,0.49297310615385176,7.894496739249429,0.0,2.5059292474847923,1.0018036662619665
1.0,1.0,3.2000000000000015,0.4941750079573638,7.685987972128265,0.0,2.6638402660419294,0.9396034890631789
1.0,1.0,3.3000000000000016,0.4954248401838073,7.480964999317932,0.0,2.8242322648995892,0.8720827417721746
1.0,1.0,3.4000000000000017,0.4967241996137626,7.280259441743283,0.0,2.9869478824732374,0.7991392679806648
1.0,1.0,3.5000000000000018,0.49807467774709674,7.084810177995775,0.0,3.151829274658959,0.7206892080129761
1.0,1.0,3.600000000000002,0.49947785284597196,6.895665798770613,0.0,3.3187190713312837,0.6366669747800124
1.0,1.0,3.700000000000002,0.5009352820571963,6.713985755417282,0.0,3.487461185128156,0.5470250191964309
1.0,1.0,3.800000000000002,0.502448493766638,6.541039454722735,0.0,3.657901450908329,0.45173338396230955
1.0,1.0,3.900000000000002,0.5040189803772511,6.378201811130598,0.0,3.8298880790680396,0.35077904897673207
1.0,1.0,4.000000000000002,0.5056481917724227,6.226942658299868,0.0,4.003271912699123,0.24416508094412598
1.0,1.0,4.100000000000001,0.5073375298409676,6.088806085626145,0.0,4.1779064878477055,0.13190961346847535
1.0,1.0,4.200000000000001,0.5090883446032249,5.965374686197445,0.0,4.353647908036182,0.014044700805899216
1.0,1.0,4.300000000000001,0.5109019326686566,5.858213820313874,0.0,4.5303545580982885,0.0
1.0,1.0,4.4,0.5127588496067481,5.781872918114116,0.0,4.711531108433561,0.0
1.0,1.0,4.5,0.5146557204387657,5.743901842938819,0.0,4.8975944538983835,0.0
1.0,1.0,4.6,0.5165914431242342,5.748036217642037,0.0,5.088481593743099,0.0
1.0,1.0,4.699999999999999,0.5185647457068228,5.79433421547719,0.0,5.2841228677998195,0.0
1.0,1.0,4.799999999999999,0.5205743566159361,5.87952864677222,0.0,5.484448179891204,0.0
1.0,1.0,4.899999999999999,0.5226191569140511,5.998599131811704,0.0,5.689391873316436,0.0
1.0,1.0,4.999999999999998,0.5246982595698336,6.146595108761456,0.0,5.898894905912249,0.0
1.0,1.0,5.099999999999998,0.5268110060257741,6.320103741072935,0.0,6.112904533990245,0.0
1.0,1.0,5.1999999999999975,0.5289568980426815,6.51811040294168,0.0,6.331372464678446,0.0
1.0,1.0,5.299999999999997,0.5311354936567212,6.7420395752214475,0.0,6.554252563666115,0.0
1.0,1.0,5.399999999999997,0.5333463041996984,6.994692958587344,0.0,6.781499181375102,0.0
1.0,1.0,5.4999999999999964,0.5355887395031852,7.278126355243687,0.0,7.013067106410146,0.0
1.0,2.0,0.0,0.3895731523378603,16.55914660633493,15.069056108597366,0.1804717948717958,0.0609882352941179
1.0,2.0,0.1,0.3903845978296648,16.071602517484262,15.333809069406206,0.17042812313421563,0.04106366421786399
1.0,2.0,0.2,0.39127352005093824,15.573579091188762,15.674847299386297,0.16105674489079835,0.022765575992497927
1.0,2.0,0.30000000000000004,0.39225071412141876,15.064377031918296,16.120417627788807,0.1526667024060418,0.006405803032475645
