composition,trial,time,biomass (g/L),ethanol (mM),acetate (mM),butanol (mM),butyrate (mM)
1.0,1.0,0.0,0.4295291101055829,15.87113695324292,16.893540271493304,0.0298633484162897,0.0701782805429868
1.0,1.0,0.1,0.43201362190537607,15.479541807879908,16.90617164263542,0.038597736791629714,0.05624029761734955
1.0,1.0,0.2,0.43458559659380874,15.08531552752956,16.943084148412503,0.049784059414864856,0.04203144486323485
1.0,1.0,0.30000000000000004,0.4372488339022549,14.68883373540136,17.014004406279614,0.06356226231187818,0.02750857091363858
1.0,1.0,0.4,0.44000795219443195,14.290436884232143,17.132495218093162,0.08008611719797507,0.012623868254300197
1.0,1.0,0.5,0.4428687110702635,13.890420153971117,17.317654854456805,0.09952918179376866,0.0
1.0,1.0,0.6,0.4458377040563135,13.489277863195046,17.59446440753434,0.1222543164663387,0.0
1.0,1.0,0.7,0.448920565195053,13.088433479772698,17.99062371474327,0.14928959876094205,0.0
1.0,1.0,0.7999999999999999,0.45212861000994137,12.688091323350381,18.557099561072903,0.18096343282143343,0.0
1.0,1.0,0.8999999999999999,0.4554773067664825,12.288313711775807,19.36520830092946,0.2176861039689378,0.0
1.0,1.0,0.9999999999999999,0.45898790378159604,11.888967755643447,20.508218669917934,0.2599822288136468,0.0
1.0,1.0,1.0999999999999999,0.46268915234833274,11.489684124527928,22.08869094352235,0.3085257342290995,0.0
1.0,1.0,1.2,0.4666179683521692,11.08989125408159,24.176397151270876,0.36415526241606677,0.0
1.0,1.0,1.3,0.4708167117155032,10.689033827442042,26.747597760886617,0.42782461121846715,0.0
1.0,1.0,1.4000000000000001,0.47532571414362834,10.287015192392891,29.659541931456854,0.5004583981368063,0.0
1.0,1.0,1.5000000000000002,0.4801739687758122,9.884697865456621,32.698574939198934,0.5827643685063537,0.00020153534967881637
1.0,1.0,1.6000000000000003,0.4853736738808471,9.484219190702355,35.6772046156936,0.675124907512934,0.014446992827251277
1.0,1.0,1.7000000000000004,0.4909182272831264,9.090400221666249,38.439686118168794,0.7783793044657503,0.04827525521549521
1.0,1.0,1.8000000000000005,0.4967868055965216,8.710357203984398,40.81928109280292,0.8933600285289582,0.10651228672572755
1.0,1.0,1.9000000000000006,0.5029434523068765,8.353770890772903,42.627452319640724,1.0208087746741399,0.19153825799841886
1.0,1.0,2.0000000000000004,0.509335841392183,8.032674466874226,43.72597596274946,1.1611981553511488,0.3009159291255407
1.0,1.0,2.1000000000000005,0.515900334744872,7.760878402626789,44.13308843428324,1.3145507114589856,0.42646111759396566
1.0,1.0,2.2000000000000006,0.5225754838304211,7.552600149064956,44.01868648005044,1.4803770075517435,0.5569244680145249
1.0,1.0,2.3000000000000007,0.5293144513984872,7.418204204995592,43.58240493584625,1.6577634258316363,0.6822214198844241
1.0,1.0,2.400000000000001,0.5360873245549578,7.3593265745239895,42.96996192812936,1.8455277135791799,0.7955855338566272
1.0,1.0,2.500000000000001,0.5428769806840575,7.370664968531471,42.26579268064284,2.0423710843322205,0.8934873437785458
1.0,1.0,2.600000000000001,0.5496742644711906,7.446736213434952,41.51408973498765,2.2469928339124263,0.9746393840547709
1.0,1.0,2.700000000000001,0.5564743498920465,7.584899433542445,40.73726495939706,2.458155125957704,1.0388453611699493
1.0,1.0,2.800000000000001,0.5632745133634343,7.78396591528064,39.94672420962404,2.6747029950763066,1.086069800036874
1.0,1.0,2.9000000000000012,0.5700731350877156,8.043007042548956,39.14838165840392,2.8955544940403604,1.1159396258631709
1.0,1.0,3.0000000000000013,0.5768693886164833,8.361500984242094,38.34536697700388,3.119677287578285,1.1276704573163308
1.0,1.0,3.1000000000000014,0.5836631420587874,8.738862269505688,37.53935546529787,3.3460652770813852,1.120259682094523
1.0,1.0,3.2000000000000015,0.5904549481053817,9.17286279341396,36.73123628179469,3.573724093582429,1.09276982175704
1.0,1.0,3.3000000000000016,0.5972461567620219,9.658656556308037,35.92145791178112,3.801668123692354,1.0445756425600268
1.0,1.0,3.4000000000000017,0.6040390725431319,10.189580130136584,35.110211510045325,4.028926204073697,0.9755065120552294
1.0,1.0,3.5000000000000018,0.6108369922000195,10.75901432945804,34.29752987503446,4.254550720615972,0.8858650869270605
1.0,1.0,3.600000000000002,0.6176440467587674,11.361983408754053,33.48334049217812,4.477625659429301,0.7763436934499081
1.0,1.0,3.700000000000002,0.6244649055498217,11.995802473467005,32.66749205540404,4.697271235235736,0.6478844111282203
1.0,1.0,3.800000000000002,0.6313044580094724,12.659666913715327,31.849764676064023,4.912644597937648,0.501532022755905
1.0,1.0,3.900000000000002,0.6381675842880256,13.353333023042504,31.0298697639902,5.122937498368665,0.3383148344096354
1.0,1.0,4.000000000000002,0.6450590981290061,14.075460438410783,30.207444048240415,5.327372631534022,0.15916835265975374
1.0,1.0,4.100000000000001,0.6519838816689832,14.822703837672606,29.38204168426474,5.525200325371038,0.0
1.0,1.0,4.200000000000001,0.6589351388261164,15.593701834667211,28.552733959527465,5.716991075944008,0.0
1.0,1.0,4.300000000000001,0.6658581643470155,16.397724964226985,27.716466704632033,5.9084522983863925,0.0
1.0,1.0,4.4,0.6727499958611598,17.22957554271518,26.87126819025604,6.0994423897132695,0.0
1.0,1.0,4.5,0.6796080565184702,18.08697561686582,26.014601305823497,6.289830616926456,0.0
1.0,1.0,4.6,0.6864298356861136,18.9695760163907,25.143264763194296,6.479493132360906,0.0
1.0,1.0,4.699999999999999,0.6932126614319032,19.87737325971425,24.253304476819316,6.668310074309577,0.0
1.0,1.0,4.799999999999999,0.6999536232658307,20.809455454034378,23.339977341426223,6.8561642810275485,0.0
1.0,1.0,4.899999999999999,0.7066496161409771,21.763866499795185,22.397830660538695,7.042941245885986,0.0
1.0,1.0,4.999999999999998,0.7132974038852129,22.73872628080468,21.42096707278282,7.22852925620006,0.0
1.0,1.0,5.099999999999998,0.7198935912207053,23.73387588384643,20.403540633893865,7.412818653548925,0.0
1.0,1.0,5.1999999999999975,0.7264344666961963,24.751900170693556,19.340462884506607,7.595699959409916,0.0
1.0,1.0,5.299999999999997,0.7329157874406048,25.797453052054216,18.228182956344675,7.777061707829829,0.0
1.0,1.0,5.399999999999997,0.7393326708871546,26.874586770462194,17.065266154204167,7.956789702680317,0.0
1.0,1.0,5.4999999999999964,0.7456797706256082,27.98412148388405,15.852411294280383,8.134769402222087,0.0
1.0,2.0,0.0,0.3895731523378603,16.55914660633493,15.069056108597366,0.1804717948717958,0.0609882352941179
1.0,2.0,0.1,0.3911376641833286,16.14626297281756,15.139986053941533,0.15184249834801944,0.0511480879527381
1.0,2.0,0.2,0.39278114594508445,15.721855612028508,15.25968534703923,0.12442110683302988,0.04153528338451767
1.0,2.0,0.30000000000000004,0.39451032169709016,15.286980539630557,15.445474733784124,0.09842685220866539,0.0321072245983669
1.0,2.0,0.4,0.3963334129611679,14.842616278789244,15.720554640185858,0.07411123625176026,0.022815601829385995
1.0,2.0,0.5,0.3982606648641586,14.389655119250708,16.116829280705186,0.051768743840244505,0.01361221341540596
