composition,trial,time,CO,CO2,H2,acetate,biomass,butanol,butyrate,ethanol,flow rate,acetate_0,biomass_0,butanol_0,butyrate_0,ethanol_0
1,1,0.0,0.5000000000000027,0.37500000000000194,0.12500000000000067,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.1,0.5000000000000027,0.37500000000000194,0.12500000000000067,18.00119547511322,0.4210760180995497,0.02825972850678749,0.061033484162896265,15.607022624434471,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.2,0.5000000000000027,0.37500000000000194,0.12500000000000067,19.83107330316753,0.4108027149321289,0.028315837104072563,0.05101266968325824,15.14413484162904,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.3,0.5000000000000027,0.37500000000000194,0.12500000000000067,22.196248868778397,0.4036018099547533,0.031357466063348605,0.0503665158371044,14.52230769230777,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.4,0.5000000000000027,0.37500000000000194,0.12500000000000067,25.293924886877964,0.40370859728507,0.028699547511312398,0.035514027149321566,13.956015384615458,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.5,0.5000000000000027,0.37500000000000194,0.12500000000000067,29.005156561086128,0.4062135746606357,0.03103800904977396,0.04112307692307729,13.322047963800973,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.6,0.5000000000000027,0.37500000000000194,0.12500000000000067,32.89933303167439,0.41084796380090716,0.04353303167420843,0.08122081447963866,12.6482135746607,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.7,0.5000000000000027,0.37500000000000194,0.12500000000000067,36.745003619909696,0.41672488687783027,0.0702959276018104,0.16721900452488803,12.061396380090562,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.8,0.5000000000000027,0.37500000000000194,0.12500000000000067,40.32964886877849,0.4242153846153869,0.11411855203619975,0.30830226244344083,11.496555656108658,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.9,0.5000000000000027,0.37500000000000194,0.12500000000000067,43.438280542986654,0.432877828054301,0.17682081447963904,0.508966515837107,10.975655203619969,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.0,0.5000000000000027,0.37500000000000194,0.12500000000000067,45.900253393665395,0.441940271493215,0.23415022624434523,0.749057013574665,10.477145701357522,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.1,0.5000000000000027,0.37500000000000194,0.12500000000000067,47.47739185520388,0.4516443438914051,0.31561176470588415,1.0726570135746667,10.053590950226297,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.2,0.5000000000000027,0.37500000000000194,0.12500000000000067,47.941919457013825,0.4616144796380115,0.4279420814479662,1.4617891402715013,9.692744796380143,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.3,0.5000000000000027,0.37500000000000194,0.12500000000000067,47.07631402714957,0.4713411764705907,0.5751031674208177,1.8956769230769335,9.370172850678784,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.4,0.5000000000000027,0.37500000000000194,0.12500000000000067,46.244437104072645,0.47906696832579443,0.7584271493212711,2.35246787330318,9.391944796380143,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.5,0.5000000000000027,0.37500000000000194,0.12500000000000067,46.09785067873328,0.4853864253393691,0.9802497737556616,2.8227475113122322,9.807828054298696,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.6,0.5000000000000027,0.37500000000000194,0.12500000000000067,45.839846153846395,0.4912633484162922,1.2370298642534006,3.286269683257936,10.376030769230823,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.7,0.5000000000000027,0.37500000000000194,0.12500000000000067,45.48357104072423,0.49701900452488956,1.5228760180995558,3.7217357466063548,11.01140180995481,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.8,0.5000000000000027,0.37500000000000194,0.12500000000000067,45.05044343891427,0.5030380090497765,1.8291257918552133,4.106156561085995,11.610454298642596,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.9,0.5000000000000027,0.37500000000000194,0.12500000000000067,44.57000723981925,0.5103221719457042,2.1633212669683375,4.4745230769231,12.1044579185521,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,2.0,0.5000000000000027,0.37500000000000194,0.12500000000000067,44.02812307692331,0.5178199095022652,2.517178280543,4.817951131221745,12.5978542986426,20.000000000000107,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
